Historical Date,AAPL US Equity,MSFT US Equity
31/10/2017,42.26,83.18
01/11/2017,41.723,83.18
02/11/2017,42.028,84.05
03/11/2017,43.125,84.14
06/11/2017,43.563,84.47
07/11/2017,43.703,84.27
08/11/2017,44.06,84.56
09/11/2017,43.97,84.09
10/11/2017,43.668,83.87
13/11/2017,43.493,83.93
14/11/2017,42.835,84.05
15/11/2017,42.27,82.98
16/11/2017,42.775,83.2
17/11/2017,42.538,82.4
20/11/2017,42.495,82.53
21/11/2017,43.285,83.72
22/11/2017,43.74,83.11
24/11/2017,43.743,83.26
27/11/2017,43.523,83.87
28/11/2017,43.268,84.88
29/11/2017,42.37,83.34
30/11/2017,42.963,84.17
01/12/2017,42.763,84.26
04/12/2017,42.45,81.08
05/12/2017,42.41,81.59
06/12/2017,42.253,82.78
07/12/2017,42.33,82.49
08/12/2017,42.343,84.16
11/12/2017,43.168,85.23
12/12/2017,42.925,85.58
13/12/2017,43.068,85.35
14/12/2017,43.055,84.69
15/12/2017,43.493,86.85
18/12/2017,44.105,86.38
19/12/2017,43.635,85.83
20/12/2017,43.588,85.52
21/12/2017,43.753,85.5
22/12/2017,43.753,85.51
26/12/2017,42.643,85.4
27/12/2017,42.65,85.71
28/12/2017,42.77,85.72
29/12/2017,42.308,85.54
02/01/2018,43.065,85.95
03/01/2018,43.058,86.35
04/01/2018,43.258,87.11
05/01/2018,43.75,88.19
08/01/2018,43.588,88.28
09/01/2018,43.583,88.22
10/01/2018,43.573,87.82
11/01/2018,43.82,88.08
12/01/2018,44.273,89.6
16/01/2018,44.048,88.35
17/01/2018,44.775,90.14
18/01/2018,44.815,90.1
19/01/2018,44.615,90
22/01/2018,44.25,91.61
23/01/2018,44.26,91.9
24/01/2018,43.555,91.82
25/01/2018,42.778,92.33
26/01/2018,42.878,94.06
29/01/2018,41.99,93.92
30/01/2018,41.743,92.74
31/01/2018,41.858,95.01
01/02/2018,41.945,94.26
02/02/2018,40.125,91.78
05/02/2018,39.123,88
06/02/2018,40.758,91.33
07/02/2018,39.885,89.61
08/02/2018,38.788,85.01
09/02/2018,39.103,88.18
12/02/2018,40.678,89.13
13/02/2018,41.085,89.83
14/02/2018,41.843,90.81
15/02/2018,43.248,92.66
16/02/2018,43.108,92
20/02/2018,42.963,92.72
21/02/2018,42.768,91.49
22/02/2018,43.125,91.73
23/02/2018,43.875,94.06
26/02/2018,44.743,95.42
27/02/2018,44.598,94.2
28/02/2018,44.53,93.77
01/03/2018,43.75,92.85
02/03/2018,44.053,93.05
05/03/2018,44.205,93.64
06/03/2018,44.168,93.32
07/03/2018,43.758,93.86
08/03/2018,44.235,94.43
09/03/2018,44.995,96.54
12/03/2018,45.43,96.77
13/03/2018,44.993,94.41
14/03/2018,44.61,93.85
15/03/2018,44.663,94.18
16/03/2018,44.505,94.6
19/03/2018,43.825,92.89
20/03/2018,43.81,93.13
21/03/2018,42.818,92.48
22/03/2018,42.213,89.79
23/03/2018,41.235,87.18
26/03/2018,43.193,93.78
27/03/2018,42.085,89.47
28/03/2018,41.62,89.39
29/03/2018,41.945,91.27
02/04/2018,41.67,88.52
03/04/2018,42.098,89.71
04/04/2018,42.903,92.33
05/04/2018,43.2,92.38
06/04/2018,42.095,90.23
09/04/2018,42.513,90.77
10/04/2018,43.313,92.88
11/04/2018,43.11,91.86
12/04/2018,43.535,93.58
13/04/2018,43.683,93.08
16/04/2018,43.955,94.17
17/04/2018,44.56,96.07
18/04/2018,44.46,96.44
19/04/2018,43.2,96.11
20/04/2018,41.43,95
23/04/2018,41.31,95.35
24/04/2018,40.735,93.12
25/04/2018,40.913,92.31
26/04/2018,41.055,94.26
27/04/2018,40.58,95.82
30/04/2018,41.315,93.52
01/05/2018,42.275,95
02/05/2018,44.143,93.51
03/05/2018,44.223,94.07
04/05/2018,45.958,95.16
07/05/2018,46.29,96.22
08/05/2018,46.513,95.81
09/05/2018,46.84,96.94
10/05/2018,47.51,97.91
11/05/2018,47.148,97.7
14/05/2018,47.038,98.03
15/05/2018,46.61,97.32
16/05/2018,47.045,97.15
17/05/2018,46.748,96.18
18/05/2018,46.578,96.36
21/05/2018,46.908,97.6
22/05/2018,46.79,97.5
23/05/2018,47.09,98.66
24/05/2018,47.038,98.31
25/05/2018,47.145,98.36
29/05/2018,46.975,98.01
30/05/2018,46.875,98.95
31/05/2018,46.718,98.84
01/06/2018,47.56,100.79
04/06/2018,47.958,101.67
05/06/2018,48.328,102.19
06/06/2018,48.495,102.49
07/06/2018,48.365,100.88
08/06/2018,47.925,101.63
11/06/2018,47.808,101.05
12/06/2018,48.07,101.31
13/06/2018,47.675,100.85
14/06/2018,47.7,101.42
15/06/2018,47.21,100.13
18/06/2018,47.185,100.86
19/06/2018,46.423,100.86
20/06/2018,46.625,101.87
21/06/2018,46.365,101.14
22/06/2018,46.23,100.41
